Brand,Product Name,Ingredients
"Alesto,Lidl",Almonds,shelled almonds
Alesto,Anacardi,_Anacardi_ (noci di acagiù). Può contenere tracce di altra frutta a guscio e arachidi.
Alpro,Geröstete Mandel Ohne Zucker,"Wasser, MANDELN (2,3%), Calcium (Tricalciumphosphat), Meersalz, Stabilisatoren (Johannisbrotkernmehl, Gellan), Emulgator (Lecithine), Vitamine (B2, B12, E, D2). Kann Spuren von Schalenfrüchten (keine Erdnüsse) enthalten."
Primevère,Tartine Doux,"vegetable oils and fats nonhydrogenated 54 % rapeseed,    coconut,    palm,    palm kernel,    water,    emulsifiers : mono and diglycerides of fatty acids,    sunflower lecithin,    salt,    natural flavourings,    antioxidant : extracts of rosemary,    concentrated lemon juice,    colouring agents : annatto,    curcumin,    vitamin b1,"
"Lidl,J.D. Gross",Chocolat noir - 85% cacao,"cocoa mass, fat reduced cocoa powder, cocoa butter, sugar, emulsifier: soya lecithins, vanilla extract,"
Fin Carré,Extra dark chocolate 74% cacao,"cocoa mass, sugar, cocoa butter, fat reduced cocoa powder, emulsifier: lecithins (soya), natural vanilla flavouring, dark chocolate contains: cocoa solids 74% minimum,"
Oatly,Oat Drink Barista Edition,"water,  oats  10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin and b12),"
"Le pain des Fleurs,Ekibio",Tartines craquantes au sarrasin imp,"Farine de sarrasin*, sucre de canne blond**, cacao en poudre** (6,3%). *issu de l'agriculture biologique. **ingrédients biologiques issus du Commerce Équitable."
"Jardin Bio,Léa Nature",Pur beurre de cacahuète,CACAHUETES issues de l'agriculture biologique. Peut contenir des traces de FRUITS A COQUE et de graines de SESAME.
Alpro,Ohne Zucker Hafer,"_Haferbasis_ (97,0%) (Wasser, _Hafer_ (8,3%)), löslicher Mais-Ballaststoff, Sonnenblumenöl, Calcium (Calciumcarbonat), Meersalz, Stabilisator (Gellan), Vitamine B2, B12, D2."
Jacquet,14 Maxi Tranches complet sans sucres ajoutés,"Ingrédients: Farine complète de blé (63%), eau, farine de blé (2,2%), huile de colza, levure, arôme naturel (contient alcool), sel, farine de maïs fermentée, gluten de blé, jus d'acérola en poudre. Présence possible de: Lait, œufs, graines de sésame."
Lindt,Excellence 70% Cocoa Intense Dark,"Cocoa mass, sugar, cocoa butter, vanilla."
Weetabix,Weetabix,"wholegrain wheat (95%), malted barley extract, sugar, salt, niacin, iron, riboflavin (b2), thiamin (bi), acid,"
Pringles,Pringles Original,"Pommes de terre déshydratées, huiles végétales (tournesol, palme, mais) en proportion variable, farine de blé, farine de mais, farine de riz, maltodextrine, émulsifiant (E471), sel, colorant (norbixine de rocou)."
